MILHO                    ;EM GRÃOS            ;4742;FORTALEZA-CE                                      ;2304400                       ;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;1,28
MILHO                    ;EM GRÃOS            ;4742;IGUATU-CE                                         ;2305506                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,5
MILHO                    ;EM GRÃOS            ;4742;JUAZEIRO DO NORTE-CE                              ;2307304                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
MILHO                    ;EM GRÃOS            ;4742;MAURITI-CE                                        ;2308104                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
MILHO                    ;EM GRÃOS            ;4742;NOVO ORIENTE-CE                                   ;2309409                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,33
MILHO                    ;EM GRÃOS            ;4742;PEDRA BRANCA-CE                                   ;2310506                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,46
MILHO                    ;EM GRÃOS            ;4742;RUSSAS-CE                                         ;2311801                       ;CE        ;NORDESTE       ;2025;7;ATACADO                                                     ;1,28
MILHO                    ;EM GRÃOS            ;4742;SENADOR POMPEU-CE                                 ;2312700                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,42
MILHO                    ;EM GRÃOS            ;4742;SOBRAL-CE                                         ;2312908                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,47
MILHO                    ;EM GRÃOS            ;4742;TAUÁ-CE                                           ;2313302                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,33
MILHO                    ;EM GRÃOS            ;4742;VÁRZEA ALEGRE-CE                                  ;2314003                       ;CE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,35
MILHO                    ;EM GRÃOS            ;4742;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,92
MILHO                    ;EM GRÃOS            ;4742;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;0,97
MILHO                    ;EM GRÃOS            ;4742;DORES DO RIO PRETO-ES                             ;3202009                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,22
MILHO                    ;EM GRÃOS            ;4742;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,33
MILHO                    ;EM GRÃOS            ;4742;VITÓRIA-ES                                        ;3205309                       ;ES        ;SUDESTE        ;2025;7;ATACADO                                                     ;1,24
MILHO                    ;EM GRÃOS            ;4742;BOM JESUS DE GOIÁS-GO                             ;5203500                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
MILHO                    ;EM GRÃOS            ;4742;CATALÃO-GO                                        ;5205109                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
MILHO                    ;EM GRÃOS            ;4742;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
MILHO                    ;EM GRÃOS            ;4742;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;0,96
MILHO                    ;EM GRÃOS            ;4742;MINEIROS-GO                                       ;5213103                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
MILHO                    ;EM GRÃOS            ;4742;PARAÚNA-GO                                        ;5216403                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
MILHO                    ;EM GRÃOS            ;4742;PONTALINA-GO                                      ;5217708                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;0,83
MILHO                    ;EM GRÃOS            ;4742;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;0,85
MILHO                    ;EM GRÃOS            ;4742;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,81
MILHO                    ;EM GRÃOS            ;4742;SÃO LUÍS DE MONTES BELOS-GO                       ;5220108                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;0,88
MILHO                    ;EM GRÃOS            ;4742;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,96
MILHO                    ;EM GRÃOS            ;4742;BALSAS-MA                                         ;2101400                       ;MA        ;NORDESTE       ;2025;7;ATACADO                                                     ;1,05
MILHO                    ;EM GRÃOS            ;4742;IMPERATRIZ-MA                                     ;2105302                       ;MA        ;NORDESTE       ;2025;7;ATACADO                                                     ;1,19
MILHO                    ;EM GRÃOS            ;4742;SANTA LUZIA-MA                                    ;2110005                       ;MA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,17
MILHO                    ;EM GRÃOS            ;4742;SANTA LUZIA-MA                                    ;2110005                       ;MA        ;NORDESTE       ;2025;7;ATACADO                                                     ;1,35
MILHO                    ;EM GRÃOS            ;4742;ALFENAS-MG                                        ;3101607                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,0
MILHO                    ;EM GRÃOS            ;4742;FORMIGA-MG                                        ;3126109                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,99
MILHO                    ;EM GRÃOS            ;4742;FRUTAL-MG                                         ;3127107                       ;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,97
